# time identity distance inter intra
0 1 64.384410 178.304421 14.097962
1 1 66.425278 166.159869 13.407166
2 1 67.585273 164.334386 12.508950
3 1 66.355684 153.735580 14.630227
4 1 70.668648 146.380298 11.664836
5 1 71.779721 156.263136 12.145872
6 1 70.909259 151.221694 9.458392
7 1 73.423701 133.846263 9.153695
8 1 66.076828 167.443991 11.444602
9 1 65.269958 161.708082 12.577345
10 1 66.896982 154.033581 10.120826
11 1 64.127820 176.608081 11.701216
12 1 68.359995 165.567891 6.867123
13 1 69.021470 156.799566 8.001055
14 1 67.553293 167.804047 11.100784
15 1 67.275554 150.344067 12.647150
16 1 72.718336 154.906049 12.706802
17 1 73.424019 146.818796 6.627251
18 1 68.358432 151.634424 7.444372
19 1 62.050889 151.885374 7.850127
20 1 59.038564 144.356242 8.262420
21 1 60.736434 136.625499 8.771563
22 1 54.962704 159.484498 9.343107
23 1 50.696964 164.479538 8.120949
24 1 47.317255 157.216304 7.123219
25 1 43.602101 138.385404 7.257519
26 1 44.493281 149.604975 8.035523
27 1 45.707197 142.217209 7.276728
28 1 37.871400 154.024132 11.776397
29 1 39.487278 165.911858 10.028232
30 1 39.733963 147.059677 7.971355
31 1 41.326529 154.606444 9.952210
32 1 39.205771 160.353326 10.283364
33 1 38.592095 156.860827 10.561435
34 1 37.899604 154.088401 9.290573
35 1 39.734046 166.108752 13.024797
36 1 32.097849 172.302553 16.706201
37 1 36.229392 162.754132 15.818825
38 1 34.123428 175.085558 14.191990
39 1 35.783000 177.914720 15.965990
40 1 41.383985 175.514979 15.676570
41 1 44.687153 177.388128 11.059439
42 1 46.136886 173.058413 10.704973
43 1 43.730777 178.060259 12.676104
44 1 44.414872 170.817269 15.643377
45 1 41.899461 158.187229 16.689723
46 1 47.467358 161.410968 14.316423
47 1 50.345561 152.701487 15.215420
48 1 56.457549 150.629705 15.475217
49 1 58.198901 156.580140 12.661040
50 1 53.362633 162.191219 17.191757
51 1 58.883125 150.159448 11.211345
52 1 52.919091 157.050453 14.786889
53 1 53.521075 158.916375 13.720923
54 1 55.678182 170.246284 10.425777
55 1 61.634479 159.400198 15.711485
56 1 60.374868 149.157897 14.462472
57 1 60.956926 156.366738 16.285992
58 1 71.775919 146.224891 13.465196
59 1 77.861704 147.209890 13.755247
60 1 73.342146 154.194842 16.964670
61 1 66.144344 153.177647 19.775073
62 1 62.991691 168.873113 18.556494
63 1 59.419507 167.930131 22.070161
64 1 54.204881 161.408176 18.716093
65 1 56.806638 159.480375 14.828230
66 1 51.159280 157.287742 14.303527
67 1 58.097291 170.403010 14.366242
68 1 59.729853 176.897208 16.569670
69 1 67.226150 162.187378 14.357518
70 1 65.393998 165.695458 14.426728
71 1 60.652570 173.220056 10.649251
72 1 60.489441 162.973967 12.873098
73 1 65.789500 166.154989 11.822927
74 1 63.434453 174.518580 12.338856
75 1 62.145194 161.763331 11.616733
76 1 57.000781 167.131215 17.290812
77 1 61.472973 171.623582 19.397784
78 1 57.853971 173.273078 20.326114
79 1 61.011614 169.791539 22.825741
80 1 61.592510 157.643747 17.072539
81 1 65.038523 160.273927 13.208835
82 1 67.051909 168.036831 11.241527
83 1 56.767097 167.025037 12.905745
84 1 63.008224 149.278903 10.830718
85 1 62.611159 157.604499 9.316368
86 1 59.306352 170.708706 11.081311
87 1 53.264407 171.049386 9.620733
88 1 58.794179 179.997561 10.160426
89 1 57.850797 167.705916 9.369198
90 1 50.507511 152.582904 11.771909
91 1 51.208975 157.244651 12.687650
92 1 49.304629 162.846797 14.711327
93 1 48.911485 162.611621 14.431199
94 1 40.042698 167.359403 15.703219
95 1 42.388933 156.761092 19.817304
96 1 40.957346 173.838493 15.541574
97 1 47.197544 160.293963 15.478892
98 1 45.623341 174.168421 17.526530
99 1 49.183886 159.194757 16.375031
100 1 49.565370 174.635531 14.101400
101 1 45.046004 185.474995 13.138281
102 1 49.458144 168.212953 10.431362
103 1 48.883435 171.108730 11.800476
104 1 48.260531 177.856850 10.554485
105 1 44.325837 174.401242 12.718287
106 1 43.874032 174.228152 13.472487
107 1 51.399053 174.180104 11.245990
108 1 47.961442 157.457683 11.716905
109 1 49.668355 157.834407 12.840044
110 1 42.984549 161.205384 12.750033
111 1 40.159886 169.562302 11.319156
112 1 43.821952 164.078354 12.042882
113 1 48.128368 158.350983 13.977503
114 1 49.004193 164.869218 12.798863
115 1 50.984735 160.027820 12.643525
116 1 56.712739 171.773246 20.001773
117 1 50.867911 164.013588 21.337138
118 1 50.722979 175.184578 15.232360
119 1 51.572452 161.326916 11.970857
120 1 51.813457 166.602897 11.027480
121 1 51.341750 176.571705 12.596753
122 1 51.970880 183.451355 11.789445
123 1 55.429444 177.341658 12.393774
124 1 58.304600 167.034021 12.337230
125 1 59.770639 145.473828 12.629046
126 1 58.227754 150.395047 9.825444
127 1 54.632138 170.850883 9.131833
128 1 57.322319 174.152161 9.050421
129 1 53.783714 173.330262 8.426484
130 1 52.299499 172.908739 10.627495
131 1 53.257421 166.657373 10.138055
132 1 53.258616 159.428998 8.645769
133 1 55.227779 158.400167 10.357848
134 1 56.949695 175.012536 14.934444
135 1 56.541190 173.185113 15.699661
136 1 55.799836 163.920320 13.536281
137 1 62.055991 147.540365 12.733674
138 1 66.096353 153.776266 13.050650
139 1 71.651876 159.867729 14.342805
140 1 68.216042 168.105957 19.297603
141 1 76.326418 161.275281 12.784241
142 1 71.277473 154.293778 10.822138
143 1 72.356617 152.744261 14.467780
144 1 75.030702 170.205191 16.674159
145 1 76.933994 159.573873 17.257959
146 1 76.571983 162.880374 20.056226
147 1 73.528634 181.010422 18.577094
148 1 83.300690 164.927848 15.448885
149 1 76.992990 167.077983 14.014584
150 1 74.398069 168.401109 15.339681
151 1 82.369279 153.238078 16.270781
152 1 77.391793 158.367470 17.257287
153 1 78.441929 176.530935 16.561723
154 1 68.238711 172.113089 15.908109
155 1 69.180681 162.927955 16.543550
156 1 73.810325 181.551711 20.793424
157 1 76.625389 169.531061 17.919203
158 1 80.163393 167.174651 17.211393
159 1 88.906626 169.876419 24.330499
160 1 85.857540 170.543991 17.053948
161 1 87.942184 153.170610 20.143446
162 1 86.074989 157.946094 18.707002
163 1 80.219346 142.640021 12.706251
164 1 84.526249 145.779222 13.422767
165 1 82.214480 154.781614 15.879821
166 1 90.278021 142.531947 15.100793
167 1 81.814434 140.108322 17.279010
168 1 77.488435 152.178849 19.307467
169 1 83.073215 150.634300 16.795723
170 1 85.806380 164.958462 16.897493
171 1 80.039253 159.110155 16.998911
172 1 82.331348 169.421085 14.545244
173 1 73.183442 165.286314 15.293686
174 1 82.816356 157.372181 19.216692
175 1 80.788744 165.853830 17.708445
176 1 80.060647 157.237264 13.792217
177 1 81.909168 151.446220 13.878184
178 1 73.045405 143.258671 20.059833
179 1 72.900334 155.838651 23.039529
180 1 76.137302 141.357135 22.035127
181 1 81.109946 140.395013 24.675229
182 1 78.127461 128.309380 25.475342
183 1 62.934460 152.377954 19.605231
184 1 60.801280 152.925192 28.639663
185 1 62.046639 145.504919 22.483942
186 1 69.498472 151.838810 23.953102
187 1 72.033207 167.702362 25.303175
188 1 71.698254 153.894146 17.981170
189 1 73.497878 149.710008 11.968797
190 1 67.245980 157.326412 9.515452
191 1 69.900874 157.805560 10.029191
192 1 69.875784 165.688496 13.345852
193 1 69.369039 166.232341 14.678705
194 1 70.372058 170.194492 15.563501
195 1 60.183752 171.066794 15.400971
196 1 47.576407 160.240199 15.971238
197 1 37.930563 161.974210 20.855277
198 1 50.790649 160.715531 19.583240
199 1 47.218664 166.177808 17.533889
200 1 43.674247 168.308997 18.178294
201 1 50.499384 165.320342 21.022276
202 1 46.818244 158.029477 25.859981
203 1 48.001888 149.794639 20.576244
204 1 51.567145 159.592360 24.546567
205 1 53.467926 158.162541 26.731006
206 1 47.448476 164.387371 20.357826
207 1 48.553400 166.394754 15.280797
208 1 50.074413 168.049074 13.359604
209 1 44.737950 174.373466 17.032381
210 1 46.785892 171.915990 16.149589
211 1 42.714999 184.886065 19.039714
212 1 39.373595 161.191460 25.313345
213 1 43.986738 173.867087 23.305506
214 1 38.323663 160.623294 19.404783
215 1 46.049583 164.303461 23.759422
216 1 45.007562 177.548468 19.056823
217 1 45.144709 152.902397 24.067991
218 1 43.733621 148.432507 27.545408
219 1 47.988347 157.072331 28.384537
220 1 43.233926 167.496645 23.326272
221 1 43.136313 165.784895 28.078548
222 1 36.166621 174.434362 32.587954
223 1 35.374344 145.819220 31.654614
224 1 36.310928 138.387153 27.269711
225 1 34.313517 151.528988 22.889162
226 1 28.016231 149.633182 25.011941
227 1 27.606328 126.890686 32.666029
228 1 34.169411 136.702686 22.175524
229 1 40.647481 120.978486 19.075919
230 1 36.695582 127.366779 20.436223
231 1 32.437685 121.940998 19.342171
232 1 30.112494 135.765760 18.919512
233 1 32.107825 151.177717 20.837956
234 1 32.086031 150.726174 30.397608
235 1 38.262866 136.992978 33.078811
236 1 33.870855 119.510862 33.552683
237 1 40.505144 133.965627 33.052261
238 1 36.306961 125.837490 26.636926
239 1 41.174042 131.266732 19.894625
240 1 38.450237 123.914460 24.647599
241 1 35.247306 123.543063 21.807575
242 1 35.166923 126.590922 21.119802
243 1 29.035944 150.153796 16.783602
244 1 20.989089 156.252005 20.784329
245 1 20.069256 163.517951 21.944466
246 1 19.715051 161.722636 23.438211
247 1 17.675485 146.797991 22.455810
248 1 17.696939 149.347682 35.070532
249 1 18.369847 146.521088 31.878282
250 1 15.198822 148.107442 37.241647
251 1 15.404927 144.604007 37.929522
252 1 21.890905 147.304925 37.067554
253 1 32.550884 160.552202 40.869458
254 1 31.179708 172.355274 36.930099
255 1 34.033677 162.381187 30.754913
256 1 36.284085 149.476216 25.969984
257 1 40.752240 166.308183 28.202491
258 1 34.297013 152.620363 22.199683
259 1 39.327429 152.600606 21.177112
260 1 40.046982 161.399760 19.264911
261 1 36.609047 147.361700 28.170804
262 1 40.465784 158.335323 19.875584
263 1 33.659498 149.572212 26.482880
264 1 46.099334 159.063107 14.616477
265 1 46.151951 169.748331 17.349524
266 1 46.231668 158.261874 21.174494
267 1 44.053691 178.004561 21.075698
268 1 42.762834 174.239131 15.965758
269 1 54.745136 177.338793 17.232987
270 1 49.921695 170.025466 14.538868
